POCO,OPERADOR,ESTADO,BACIA,CAMPO,TERRA_MAR,CATEGORIA,SITUACAO,CONCLUSAO,TITULARIDADE
7-TBAZ-1HP-RJS,Dommo Energia,RJ,Campos,TUBARÃO AZUL,M,Desenvolvimento,ABANDONADO PERMANENTEMENTE,1/12/13 0:00,Público
3-OGX-50D-RJS,Dommo Energia,RJ,Campos,TUBARÃO AZUL,M,Extensão,ABANDONADO PERMANENTEMENTE,7/24/11 0:00,Público
3-OGX-53D-RJS,Dommo Energia,RJ,Campos,TUBARÃO AZUL,M,Extensão,ABANDONADO PERMANENTEMENTE,8/22/11 0:00,Público
3-OGX-21D-RJS,Dommo Energia,RJ,Campos,,M,Extensão,ABANDONADO PERMANENTEMENTE,11/26/10 0:00,Público
9-OGX-68HP-RJS,Dommo Energia,RJ,Campos,TUBARÃO AZUL,M,Especial,ABANDONADO PERMANENTEMENTE,3/26/12 0:00,Público
1-OGX-3-RJS,Dommo Energia,RJ,Campos,,M,Pioneiro,ABANDONADO PERMANENTEMENTE,2/25/10 0:00,Público
9-OGX-55HP-RJS,Dommo Energia,RJ,Campos,TUBARÃO TIGRE,M,Especial,ABANDONADO PERMANENTEMENTE,10/18/11 0:00,Público
9-OGX-60HP-RJS,Dommo Energia,RJ,Campos,TUBARÃO AZUL,M,Especial,ABANDONADO PERMANENTEMENTE,1/9/12 0:00,Público
3-OGX-65D-RJS,Dommo Energia,RJ,Campos,TUBARÃO AZUL,M,Extensão,ABANDONADO PERMANENTEMENTE,11/23/11 0:00,Público
4-BRSA-1223-SES,Petrobras,SE,Sergipe,PIRANEMA SUL,M,Pioneiro Adjacente,ARRASADO,4/13/14 0:00,Público
4-JZ-4-RN,Potiguar E&P S.A.,RN,Potiguar,JUAZEIRO,T,Pioneiro Adjacente,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,12/15/91 0:00,Público
4-LV-9-RN,Potiguar E&P S.A.,RN,Potiguar,LIVRAMENTO,T,Pioneiro Adjacente,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,10/31/86 0:00,Público
4-RFQ-2-RN,Potiguar E&P S.A.,RN,Potiguar,RIACHO DA FORQUILHA,T,Pioneiro Adjacente,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2/4/93 0:00,Público
5-TM-13-RN,Potiguar E&P S.A.,RN,Potiguar,TRÊS MARIAS,T,Jazida Mais Rasa,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,10/27/90 0:00,Público
7-ASB-9D-RN,Potiguar E&P S.A.,RN,Potiguar,ASA BRANCA,T,Desenvolvimento,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2/27/13 0:00,Público
7-BAL-9-RN,Potiguar E&P S.A.,RN,Potiguar,BAIXA DO ALGODÃO,T,Desenvolvimento,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,4/30/87 0:00,Público
7-BAL-12-RN,Potiguar E&P S.A.,RN,Potiguar,BAIXA DO ALGODÃO,T,Desenvolvimento,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,5/15/87 0:00,Público
7-BAL-52-RN,Potiguar E&P S.A.,RN,Potiguar,BAIXA DO ALGODÃO,T,Desenvolvimento,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,10/9/06 0:00,Público
7-BAL-55-RN,Potiguar E&P S.A.,RN,Potiguar,BAIXA DO ALGODÃO,T,Desenvolvimento,PRODUZINDO,5/3/09 0:00,Público
